"paragraph","nrc_sentiment","no_of_interactions","sentence_id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" Harry spends another summer holiday with the Dursley in mid- , and things have n't been that easy for Harry . Over the summer , Dursley have forbidden Harry to talk to any of the neighbours out of fear of Harry exposing Harry 's magical abilities .",0.6,2," 1 2",0.272727272727273,0.181818181818182,0,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0,1.03,-0.50125,0.61344
" The separation from Harry 's magical supplies -LRB- e.g. Harry 's wand , Harry 's broomstick , spellbooks , etc. -RRB- have become a real problem for Harry , too , because Harry 's teachers at Hogwarts School of Witchcraft and Wizardry have given Harry a lot of summer homework .",-0.2,2," 3",0.2,0.0666666666666667,0,0.2,0.0666666666666667,0.266666666666667,0.0666666666666667,0.133333333333333,0.70867,-0.75333,0.54933
" Harry has seized the opportunity to start it a week after Harry 's arrival home by sneaking some of Harry 's books upstairs and hiding them in Harry 's room while Dudley and Petunia go out to admire Vernon 's new company car . None of Dursley have noticed Harry studying magic every night since then , and Harry has been very careful to avoid trouble with them , for Harry 's aunt and uncle have already been in a bad mood with Harry due to a telephone call they got from their nephew 's best friend at Ronald Ronald , about which Vernon has furiously confronted Harry , even though Harry does n't know how Ronald got their home number .",-0.0499999999999998,2," 4 5",0.19047619047619,0.19047619047619,0.0476190476190476,0.19047619047619,0.0476190476190476,0.142857142857143,0,0.19047619047619,0.92319,-1.01245,0.57904
" The incident must have simply made Ronald warn Hermione not to call , as Harry received no word from them afterwards .",-0.4,1," 6",0.125,0.125,0,0.125,0,0.125,0.25,0.25,0.61,-0.7525,0.8175
" The only improvement in Harry 's relationship to Dursley that gets changed is that they have given Harry permission to let Hedwig out at night with a promise not to use her to send letter to Ronald or Hermione , since Vernon could n't take the screeching racket she makes while bored if she gets locked in her cage all the time .",1.2,1," 7",0.111111111111111,0.222222222222222,0,0,0.222222222222222,0.222222222222222,0,0.222222222222222,0.54217,-1.0463,0.43065
" On  July -LRB- Harry 's thirteenth birthday -RRB- , after midnight , Harry receives gifts and letters from Ronald , Hermione and Rubeus , each wishing Harry a happy birthday and sending Harry a gift . According to Ronald , Arthur , won a '' Daily Prophet '' Prize Draw for seven hundred galleons and has used it to take the Weasley to Egypt to visit William , with the remainder being used to provide Ronald with a new wand to replace the one that was broken last year .",3.4,2," 8 9",0.105263157894737,0.263157894736842,0,0.105263157894737,0.157894736842105,0.105263157894737,0.105263157894737,0.157894736842105,1.18368,-0.95794,0.78485
" Harry also learns that Percy is entering Percy 's seventh year at Hogwarts and has been named Head Boy .",0.25,1," 10",0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,1.02556,-1.17667,0.83556
" According to Hermione , Hermione and Hermione 's parents are currently spending the holiday in France .",0.8,1," 11",0,0.5,0,0,0.5,0,0,0,1.476,-1.034,0.678
" Also , both Ronald and Hermione mention in their letters they will be in London on the last week before term to pick up their school supplies and want Harry to join them .",0.25,1," 12",0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0.72364,-1.38409,0.67227
" Rubeus hints in Rubeus 's letter the book Rubeus sent Harry will come in handy next term but Rubeus wants the reason for it to be a surprise until the term starts .",1.7,1," 13",0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,1.09143,-1.05821,0.81964
" Another letter from Minerva arrives , saying that third years are allowed to visit the village of Hogsmeade and that their guardian needs to sign the permission form in order for them to do so .",1.3,1," 14",0,0.5,0,0,0,0,0,0.5,0.79937,-1.45531,0.89031
" When Harry awakes the next morning , Harry goes downstairs hoping to watch TV .",0.6,1," 15",0.25,0.25,0,0.25,0,0.25,0,0,1.35917,-0.46083,1.2375
" Unfortunately for Harry , Harry finds Harry 's Vernon and Dudley already watching the news and sits down with them unnoticed as the channel 's anchorman is halfway through the report on word from the Muggle Prime Minister out on the London streets of an escaped convict , Sirius , who Vernon comments looks like Harry came from an asylum rather than a prison . This is obviously because the mental state of Sirius 's gaunt face and elbow-length hair is almost like comparing Harry to Harry , who luckily feels well groomed .",-0.725,2," 16 17",0.333333333333333,0,0.0666666666666667,0.266666666666667,0,0.266666666666667,0,0.0666666666666667,0.465,-1.07467,0.549
" The reporter then transitions to his report on the Ministry of Agriculture and Fisheries ' announcement without implying beforehand which prison or asylum Sirius has escaped from , much to Vernon 's confusion . Nonetheless , Vernon announces to the family that Vernon 's sister , -LSB- -LSB- Marjorie | Marjorie `` Marge '' Dursley -RSB- -RSB- , is coming to visit for a week .",-0.425,2," 18 19",0.166666666666667,0.166666666666667,0,0.333333333333333,0.0833333333333333,0.0833333333333333,0,0.166666666666667,0.25421,-1.05316,-0.00316
" Harry agrees to behave normally during her visit , if Harry 's uncle will sign Harry 's permission form and has to send Hedwig to Percy , Ronald , Arthur and William for the week due to Marge not knowing that Harry is a wizard .",2.7,1," 20",0.25,0.25,0,0,0,0.25,0.25,0,0.97467,-1.35667,0.68067
" On the final night , when she calls James , a lazy good for nothing drunk , Harry loses Harry 's temper and accidentally inflates her . She explodes and Harry decides to take Harry 's school things and run away , fearing Harry will almost certainly be expelled from Hogwarts , after using magic outside school .",-2.15,2," 21 22",0.153846153846154,0.153846153846154,0,0.0769230769230769,0.0769230769230769,0.153846153846154,0.153846153846154,0.230769230769231,0.11455,-0.71227,0.03432
" He reaches Magnolia Crescent and sees a Sirius staring at him .",-0.25,1," 23",NA,NA,NA,NA,NA,NA,NA,NA,0.84,-1.112,0.846
" In Harry Harry falls and the Knight Bus , a triple-decker bus designed for wizard transportation , arrives . The dog vanishes and is nowhere in sight .",0.375,2," 24 25",0.25,0.25,0,0,0,0.25,0.25,0,0.81455,-0.975,0.25409
" Harry meets the Knight Bus 's conductor , Stan Shunpike and the driver , Ernie Prang .",0.6,1," 26",0.5,0,0,0,0,0.5,0,0,0.775,-1.2675,0.45
