Sentence,Subject Characters,Actions with Subject Charcater,Object Characters,Objects and Actions,sentence sentiment score,dependency_tree
"Petunia and Vernon , with Dudley , are proud to say that Petunia , Vernon and Dudley are the most normal people possible .","['Petunia', 'Vernon', 'Vernon', 'Dudley', 'Dudley', 'Petunia', 'Vernon', 'Vernon', 'Dudley']","['Petunia:proud', 'Vernon:proud', 'Vernon:proud', 'Dudley:proud', 'Dudley:proud', 'Petunia:people', 'Vernon:people', 'Vernon:people', 'Dudley:people']",[],[],0.4767,"[(('proud', 'JJ'), 'nsubj', ('Petunia', 'NNP')), (('Petunia', 'NNP'), 'cc', ('and', 'CC')), (('Petunia', 'NNP'), 'conj', ('Vernon', 'NNP')), (('proud', 'JJ'), 'nmod', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'case', ('with', 'IN')), (('proud', 'JJ'), 'cop', ('are', 'VBP')), (('proud', 'JJ'), 'xcomp', ('say', 'VB')), (('say', 'VB'), 'mark', ('to', 'TO')), (('say', 'VB'), 'ccomp', ('people', 'NNS')), (('people', 'NNS'), 'mark', ('that', 'IN')), (('people', 'NNS'), 'nsubj', ('Petunia', 'NNP')), (('Petunia', 'NNP'), 'conj', ('Vernon', 'NNP')), (('Petunia', 'NNP'), 'cc', ('and', 'CC')), (('Petunia', 'NNP'), 'conj', ('Dudley', 'NNP')), (('people', 'NNS'), 'cop', ('are', 'VBP')), (('people', 'NNS'), 'det', ('the', 'DT')), (('people', 'NNS'), 'advmod', ('most', 'RBS')), (('people', 'NNS'), 'amod', ('normal', 'JJ')), (('people', 'NNS'), 'amod', ('possible', 'JJ'))]"
"Petunia , Vernon and Dudley happily occupy  Privet Drive , located in the Surrey County town of Little Whinging .","['Petunia', 'Vernon', 'Dudley', 'town', 'Whinging']","['Petunia:occupy', 'Vernon:occupy', 'Dudley:occupy', 'town:located', 'Whinging:town']",['Drive'],['Drive:occupy'],0.5574,"[(('occupy', 'VB'), 'nsubj', ('Petunia', 'NNP')), (('Petunia', 'NNP'), 'conj', ('Vernon', 'NNP')), (('Petunia', 'NNP'), 'cc', ('and', 'CC')), (('Petunia', 'NNP'), 'conj', ('Dudley', 'NNP')), (('occupy', 'VB'), 'advmod', ('happily', 'RB')), (('occupy', 'VB'), 'dobj', ('Drive', 'NNP')), (('Drive', 'NNP'), 'compound', ('Privet', 'NNP')), (('Drive', 'NNP'), 'acl', ('located', 'VBN')), (('located', 'VBN'), 'nmod', ('town', 'NN')), (('town', 'NN'), 'case', ('in', 'IN')), (('town', 'NN'), 'det', ('the', 'DT')), (('town', 'NN'), 'compound', ('Surrey', 'NNP')), (('town', 'NN'), 'compound', ('County', 'NNP')), (('town', 'NN'), 'nmod', ('Whinging', 'NNP')), (('Whinging', 'NNP'), 'case', ('of', 'IN')), (('Whinging', 'NNP'), 'compound', ('Little', 'NNP'))]"
"Vernon is the director of a drill company called Grunnings , while Petunia does housework and looks after Dudley , yet Petunia always spends so much time craning over garden fence to spy on the neighbours .","['Vernon', 'company', 'Petunia', 'Dudley', 'Petunia', 'neighbours']","['Vernon:director', 'company:director', 'Petunia:does', 'Dudley:looks', 'Petunia:spends', 'neighbours:spy']","['Grunnings', 'housework', 'time', 'fence']","['Grunnings:called', 'housework:does', 'time:spends', 'fence:craning']",0.0,"[(('director', 'NN'), 'nsubj', ('Vernon', 'NNP')), (('director', 'NN'), 'cop', ('is', 'VBZ')), (('director', 'NN'), 'det', ('the', 'DT')), (('director', 'NN'), 'nmod', ('company', 'NN')), (('company', 'NN'), 'case', ('of', 'IN')), (('company', 'NN'), 'det', ('a', 'DT')), (('company', 'NN'), 'compound', ('drill', 'NN')), (('company', 'NN'), 'acl', ('called', 'VBN')), (('called', 'VBN'), 'dobj', ('Grunnings', 'NNS')), (('called', 'VBN'), 'advcl', ('does', 'VBZ')), (('does', 'VBZ'), 'mark', ('while', 'IN')), (('does', 'VBZ'), 'nsubj', ('Petunia', 'NNP')), (('does', 'VBZ'), 'dobj', ('housework', 'NN')), (('does', 'VBZ'), 'cc', ('and', 'CC')), (('does', 'VBZ'), 'conj', ('looks', 'VBZ')), (('looks', 'VBZ'), 'nmod', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'case', ('after', 'IN')), (('director', 'NN'), 'cc', ('yet', 'CC')), (('director', 'NN'), 'conj', ('spends', 'VBZ')), (('spends', 'VBZ'), 'nsubj', ('Petunia', 'NNP')), (('spends', 'VBZ'), 'advmod', ('always', 'RB')), (('spends', 'VBZ'), 'dobj', ('time', 'NN')), (('time', 'NN'), 'amod', ('much', 'JJ')), (('much', 'JJ'), 'advmod', ('so', 'RB')), (('spends', 'VBZ'), 'xcomp', ('craning', 'VBG')), (('craning', 'VBG'), 'compound:prt', ('over', 'RP')), (('craning', 'VBG'), 'dobj', ('fence', 'NN')), (('fence', 'NN'), 'compound', ('garden', 'NN')), (('craning', 'VBG'), 'advcl', ('spy', 'VB')), (('spy', 'VB'), 'mark', ('to', 'TO')), (('spy', 'VB'), 'nmod', ('neighbours', 'NNS')), (('neighbours', 'NNS'), 'case', ('on', 'IN')), (('neighbours', 'NNS'), 'det', ('the', 'DT'))]"
"Despite all this , the Vernon and Petunia are the least people anyone expects to be involved in anything funny or disturbing , for they do n't hold with such nonsense in their daily lives .","['Vernon', 'Petunia', 'anything', 'they', 'nonsense', 'lives']","['Vernon:anyone', 'Petunia:anyone', 'anything:involved', 'they:hold', 'nonsense:hold', 'lives:nonsense']",[],[],-0.4767,"[(('anyone', 'NN'), 'nmod', ('this', 'DT')), (('this', 'DT'), 'case', ('Despite', 'IN')), (('this', 'DT'), 'det:predet', ('all', 'PDT')), (('anyone', 'NN'), 'nsubj', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'det', ('the', 'DT')), (('Vernon', 'NNP'), 'cc', ('and', 'CC')), (('Vernon', 'NNP'), 'conj', ('Petunia', 'NNP')), (('anyone', 'NN'), 'cop', ('are', 'VBP')), (('anyone', 'NN'), 'det', ('the', 'DT')), (('anyone', 'NN'), 'amod', ('least', 'JJS')), (('anyone', 'NN'), 'compound', ('people', 'NNS')), (('anyone', 'NN'), 'acl:relcl', ('expects', 'VBZ')), (('expects', 'VBZ'), 'xcomp', ('involved', 'VBN')), (('involved', 'VBN'), 'mark', ('to', 'TO')), (('involved', 'VBN'), 'auxpass', ('be', 'VB')), (('involved', 'VBN'), 'nmod', ('anything', 'NN')), (('anything', 'NN'), 'case', ('in', 'IN')), (('anything', 'NN'), 'amod', ('funny', 'JJ')), (('funny', 'JJ'), 'cc', ('or', 'CC')), (('funny', 'JJ'), 'conj', ('disturbing', 'JJ')), (('expects', 'VBZ'), 'advcl', ('hold', 'VB')), (('hold', 'VB'), 'mark', ('for', 'IN')), (('hold', 'VB'), 'nsubj', ('they', 'PRP')), (('hold', 'VB'), 'aux', ('do', 'VBP')), (('hold', 'VB'), 'neg', (""n't"", 'RB')), (('hold', 'VB'), 'nmod', ('nonsense', 'NN')), (('nonsense', 'NN'), 'case', ('with', 'IN')), (('nonsense', 'NN'), 'amod', ('such', 'JJ')), (('nonsense', 'NN'), 'nmod', ('lives', 'NNS')), (('lives', 'NNS'), 'case', ('in', 'IN')), (('lives', 'NNS'), 'nmod:poss', ('their', 'PRP$')), (('lives', 'NNS'), 'amod', ('daily', 'JJ'))]"
"The story begins on a Tuesday  November ,  , where many absurd things happen .","['story', 'November', 'things']","['story:begins', 'November:begins', 'things:happen']",[],[],0.0,"[(('begins', 'VBZ'), 'nsubj', ('story', 'NN')), (('story', 'NN'), 'det', ('The', 'DT')), (('begins', 'VBZ'), 'nmod', ('November', 'NNP')), (('November', 'NNP'), 'case', ('on', 'IN')), (('November', 'NNP'), 'det', ('a', 'DT')), (('November', 'NNP'), 'compound', ('Tuesday', 'NNP')), (('November', 'NNP'), 'acl:relcl', ('happen', 'VBP')), (('happen', 'VBP'), 'advmod', ('where', 'WRB')), (('happen', 'VBP'), 'nsubj', ('things', 'NNS')), (('things', 'NNS'), 'amod', ('many', 'JJ')), (('things', 'NNS'), 'amod', ('absurd', 'JJ'))]"
"When all three Vernon and Petunia are gossiping happily at breakfast trying to wrestle Dudley in his high chair , none of them even notice a large tawny owl flutter pass their window .","['Vernon', 'Petunia', 'breakfast', 'chair', 'none', 'them', 'flutter']","['Vernon:gossiping', 'Petunia:gossiping', 'breakfast:gossiping', 'chair:Dudley', 'none:notice', 'them:none', 'flutter:pass']","['Dudley', 'window']","['Dudley:wrestle', 'window:pass']",0.25,"[(('notice', 'VBP'), 'advcl', ('gossiping', 'VBG')), (('gossiping', 'VBG'), 'advmod', ('When', 'WRB')), (('gossiping', 'VBG'), 'nsubj', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'det', ('all', 'DT')), (('Vernon', 'NNP'), 'nummod', ('three', 'CD')), (('Vernon', 'NNP'), 'cc', ('and', 'CC')), (('Vernon', 'NNP'), 'conj', ('Petunia', 'NNP')), (('gossiping', 'VBG'), 'aux', ('are', 'VBP')), (('gossiping', 'VBG'), 'advmod', ('happily', 'RB')), (('gossiping', 'VBG'), 'nmod', ('breakfast', 'NN')), (('breakfast', 'NN'), 'case', ('at', 'IN')), (('breakfast', 'NN'), 'acl', ('trying', 'VBG')), (('trying', 'VBG'), 'xcomp', ('wrestle', 'VB')), (('wrestle', 'VB'), 'mark', ('to', 'TO')), (('wrestle', 'VB'), 'dobj', ('Dudley', 'NNP')), (('Dudley', 'NNP'), 'nmod', ('chair', 'NN')), (('chair', 'NN'), 'case', ('in', 'IN')), (('chair', 'NN'), 'nmod:poss', ('his', 'PRP$')), (('chair', 'NN'), 'amod', ('high', 'JJ')), (('notice', 'VBP'), 'nsubj', ('none', 'NN')), (('none', 'NN'), 'nmod', ('them', 'PRP')), (('them', 'PRP'), 'case', ('of', 'IN')), (('notice', 'VBP'), 'advmod', ('even', 'RB')), (('notice', 'VBP'), 'ccomp', ('pass', 'VB')), (('pass', 'VB'), 'nsubj', ('flutter', 'NN')), (('flutter', 'NN'), 'det', ('a', 'DT')), (('flutter', 'NN'), 'amod', ('large', 'JJ')), (('flutter', 'NN'), 'amod', ('tawny', 'JJ')), (('flutter', 'NN'), 'compound', ('owl', 'NN')), (('pass', 'VB'), 'dobj', ('window', 'NN')), (('window', 'NN'), 'nmod:poss', ('their', 'PRP$'))]"
"It eventually comes to Vernon 's attention when Vernon is heading to work shortly afterwards , and sees Minerva reading a map and later a street sign .","['It', 'attention', 'Vernon', 'Minerva']","['It:comes', 'attention:comes', 'Vernon:heading', 'Minerva:reading']","['map', 'sign']","['map:reading', 'sign:reading']",0.0,"[(('comes', 'VBZ'), 'nsubj', ('It', 'PRP')), (('comes', 'VBZ'), 'advmod', ('eventually', 'RB')), (('comes', 'VBZ'), 'nmod', ('attention', 'NN')), (('attention', 'NN'), 'case', ('to', 'TO')), (('attention', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('comes', 'VBZ'), 'advcl', ('heading', 'VBG')), (('heading', 'VBG'), 'advmod', ('when', 'WRB')), (('heading', 'VBG'), 'nsubj', ('Vernon', 'NNP')), (('heading', 'VBG'), 'aux', ('is', 'VBZ')), (('heading', 'VBG'), 'xcomp', ('work', 'VB')), (('work', 'VB'), 'mark', ('to', 'TO')), (('work', 'VB'), 'advmod', ('shortly', 'RB')), (('work', 'VB'), 'advmod', ('afterwards', 'RB')), (('comes', 'VBZ'), 'cc', ('and', 'CC')), (('comes', 'VBZ'), 'conj', ('sees', 'VBZ')), (('sees', 'VBZ'), 'dep', ('reading', 'VBG')), (('reading', 'VBG'), 'nsubj', ('Minerva', 'NNP')), (('reading', 'VBG'), 'dobj', ('map', 'NN')), (('map', 'NN'), 'det', ('a', 'DT')), (('map', 'NN'), 'cc', ('and', 'CC')), (('map', 'NN'), 'conj', ('sign', 'NN')), (('sign', 'NN'), 'advmod', ('later', 'RB')), (('sign', 'NN'), 'det', ('a', 'DT')), (('sign', 'NN'), 'compound', ('street', 'NN'))]"
Vernon attempts to convince Vernon that these are merely coincidences .,['Vernon'],['Vernon:attempts'],['Vernon'],['Vernon:convince'],0.25,"[(('attempts', 'VBZ'), 'nsubj', ('Vernon', 'NNP')), (('attempts', 'VBZ'), 'xcomp', ('convince', 'VB')), (('convince', 'VB'), 'mark', ('to', 'TO')), (('convince', 'VB'), 'dobj', ('Vernon', 'NNP')), (('convince', 'VB'), 'ccomp', ('coincidences', 'JJ')), (('coincidences', 'JJ'), 'mark', ('that', 'IN')), (('coincidences', 'JJ'), 'nsubj', ('these', 'DT')), (('coincidences', 'JJ'), 'cop', ('are', 'VBP')), (('coincidences', 'JJ'), 'advmod', ('merely', 'RB'))]"
"Next , Vernon sees people in cloaks talking in hushed voices , and while Vernon is sitting in Vernon 's office , a flock of owls fly past Vernon 's window .","['Vernon', 'cloaks', 'voices', 'Vernon', 'office', 'flock', 'owls', 'window']","['Vernon:sees', 'cloaks:people', 'voices:talking', 'Vernon:sitting', 'office:sitting', 'flock:fly', 'owls:flock', 'window:fly']",['people'],['people:sees'],0.0,"[(('sees', 'VBZ'), 'advmod', ('Next', 'RB')), (('sees', 'VBZ'), 'nsubj', ('Vernon', 'NNP')), (('sees', 'VBZ'), 'dobj', ('people', 'NNS')), (('people', 'NNS'), 'nmod', ('cloaks', 'NNS')), (('cloaks', 'NNS'), 'case', ('in', 'IN')), (('cloaks', 'NNS'), 'acl', ('talking', 'VBG')), (('talking', 'VBG'), 'nmod', ('voices', 'NNS')), (('voices', 'NNS'), 'case', ('in', 'IN')), (('voices', 'NNS'), 'amod', ('hushed', 'JJ')), (('sees', 'VBZ'), 'cc', ('and', 'CC')), (('sees', 'VBZ'), 'conj', ('fly', 'VBP')), (('fly', 'VBP'), 'advcl', ('sitting', 'VBG')), (('sitting', 'VBG'), 'mark', ('while', 'IN')), (('sitting', 'VBG'), 'nsubj', ('Vernon', 'NNP')), (('sitting', 'VBG'), 'aux', ('is', 'VBZ')), (('sitting', 'VBG'), 'nmod', ('office', 'NN')), (('office', 'NN'), 'case', ('in', 'IN')), (('office', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('fly', 'VBP'), 'nsubj', ('flock', 'NN')), (('flock', 'NN'), 'det', ('a', 'DT')), (('flock', 'NN'), 'nmod', ('owls', 'NNS')), (('owls', 'NNS'), 'case', ('of', 'IN')), (('fly', 'VBP'), 'nmod', ('window', 'NN')), (('window', 'NN'), 'case', ('past', 'IN')), (('window', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS'))]"
"On Vernon 's break , Vernon goes to a bakery to get a bun and sees another group of extravagantly-cloaked figures .","['break', 'Vernon', 'bakery', 'figures']","['break:goes', 'Vernon:goes', 'bakery:goes', 'figures:group']","['bun', 'group']","['bun:get', 'group:sees']",0.0,"[(('goes', 'VBZ'), 'nmod', ('break', 'NN')), (('break', 'NN'), 'case', ('On', 'IN')), (('break', 'NN'), 'nmod:poss', ('Vernon', 'NNP')), (('Vernon', 'NNP'), 'case', (""'s"", 'POS')), (('goes', 'VBZ'), 'nsubj', ('Vernon', 'NNP')), (('goes', 'VBZ'), 'nmod', ('bakery', 'NN')), (('bakery', 'NN'), 'case', ('to', 'TO')), (('bakery', 'NN'), 'det', ('a', 'DT')), (('goes', 'VBZ'), 'xcomp', ('get', 'VB')), (('get', 'VB'), 'mark', ('to', 'TO')), (('get', 'VB'), 'dobj', ('bun', 'NN')), (('bun', 'NN'), 'det', ('a', 'DT')), (('goes', 'VBZ'), 'cc', ('and', 'CC')), (('goes', 'VBZ'), 'conj', ('sees', 'VBZ')), (('sees', 'VBZ'), 'dobj', ('group', 'NN')), (('group', 'NN'), 'det', ('another', 'DT')), (('group', 'NN'), 'nmod', ('figures', 'NNS')), (('figures', 'NNS'), 'case', ('of', 'IN')), (('figures', 'NNS'), 'amod', ('extravagantly-cloaked', 'JJ'))]"
